"","ID","year","daytopart","interactions","sexage"
"1","ID001",2019,-2,13,"FAY"
"2","ID001",2019,1,10,"FAY"
"3","ID001",2019,7,8,"FAY"
"4","ID001",2019,8,1,"FAY"
"5","ID001",2019,9,2,"FAY"
"6","ID001",2019,11,1,"FAY"
"7","ID001",2019,16,2,"FAY"
"8","ID001",2019,17,3,"FAY"
"9","ID001",2019,18,3,"FAY"
"10","ID001",2019,19,2,"FAY"
"11","ID001",2019,26,2,"FAY"
"12","ID001",2019,27,14,"FAY"
"13","ID001",2019,28,1,"FAY"
"14","ID001",2019,29,8,"FAY"
"15","ID001",2019,31,1,"FAY"
"16","ID001",2019,32,5,"FAY"
"17","ID001",2019,34,3,"FAY"
"18","ID001",2019,65,14,"FAY"
"19","ID001",2019,66,20,"FAY"
"20","ID002",2019,-4,5,"FAO"
"21","ID002",2019,-1,1,"FAO"
"22","ID002",2019,7,8,"FAO"
"23","ID002",2019,10,1,"FAO"
"24","ID002",2019,14,1,"FAO"
"25","ID002",2019,20,1,"FAO"
"26","ID002",2019,24,2,"FAO"
"27","ID002",2019,32,2,"FAO"
"28","ID002",2019,64,17,"FAO"
"29","ID002",2019,65,5,"FAO"
"30","ID002",2019,66,6,"FAO"
"31","ID002",2021,-42,5,"FAO"
"32","ID002",2021,-41,3,"FAO"
"33","ID002",2021,-40,3,"FAO"
"34","ID002",2021,-39,6,"FAO"
"35","ID002",2019,66,1,"FAO"
"36","ID002",2021,-35,1,"FAO"
"37","ID002",2021,-34,9,"FAO"
"38","ID002",2021,-30,3,"FAO"
"39","ID002",2021,-29,4,"FAO"
"40","ID002",2021,-28,20,"FAO"
"41","ID002",2021,-27,1,"FAO"
"42","ID002",2021,-22,6,"FAO"
"43","ID002",2020,35,1,"FAO"
"44","ID002",2021,-38,2,"FAO"
"45","ID003",2020,36,3,"FAO"
"46","ID003",2020,27,8,"FAO"
"47","ID003",2020,35,8,"FAO"
"48","ID003",2020,3,1,"FAO"
"49","ID003",2020,29,19,"FAO"
"50","ID003",2020,32,3,"FAO"
"51","ID003",2020,60,57,"FAO"
"52","ID003",2020,23,4,"FAO"
"53","ID003",2020,26,7,"FAO"
"54","ID003",2020,22,2,"FAO"
"55","ID003",2020,21,6,"FAO"
"56","ID004",2020,32,8,"FAO"
"57","ID004",2019,1,1,"FAO"
"58","ID004",2020,31,6,"FAO"
"59","ID004",2019,32,1,"FAO"
"60","ID004",2019,36,1,"FAO"
"61","ID004",2019,22,2,"FAO"
"62","ID004",2019,23,2,"FAO"
"63","ID004",2019,39,1,"FAO"
"64","ID004",2019,41,3,"FAO"
"65","ID004",2020,25,9,"FAO"
"66","ID004",2019,38,1,"FAO"
"67","ID004",2019,37,2,"FAO"
"68","ID004",2019,43,2,"FAO"
"69","ID004",2019,42,1,"FAO"
"70","ID004",2020,26,2,"FAO"
"71","ID005",2019,14,2,"FAO"
"72","ID005",2019,11,2,"FAO"
"73","ID005",2019,25,1,"FAO"
"74","ID005",2019,16,2,"FAO"
"75","ID005",2019,6,3,"FAO"
"76","ID005",2019,18,2,"FAO"
"77","ID005",2019,27,1,"FAO"
"78","ID005",2019,17,2,"FAO"
"79","ID005",2019,42,2,"FAO"
"80","ID005",2019,1,2,"FAO"
"81","ID005",2019,37,1,"FAO"
"82","ID006",2019,2,1,"FAO"
"83","ID006",2019,26,4,"FAO"
"84","ID006",2019,34,1,"FAO"
"85","ID006",2019,42,8,"FAO"
"86","ID006",2019,-4,3,"FAO"
"87","ID006",2019,24,1,"FAO"
"88","ID006",2019,12,1,"FAO"
"89","ID006",2019,19,1,"FAO"
"90","ID006",2019,16,1,"FAO"
"91","ID006",2019,34,3,"FAO"
"92","ID009",2021,-28,1,"FAO"
"93","ID009",2021,-28,15,"FAO"
"94","ID009",2021,-38,8,"FAO"
"95","ID009",2021,-15,3,"FAO"
"96","ID009",2020,31,6,"FAO"
"97","ID009",2021,-22,5,"FAO"
"98","ID009",2021,-39,4,"FAO"
"99","ID009",2021,-20,1,"FAO"
"100","ID009",2020,32,2,"FAO"
"101","ID009",2020,36,7,"FAO"
"102","ID009",2021,-5,1,"FAO"
"103","ID010",2019,1,5,"FAY"
"104","ID010",2019,-1,5,"FAY"
"105","ID010",2019,0,2,"FAY"
"106","ID010",2019,65,4,"FAY"
"107","ID010",2019,-15,3,"FAY"
"108","ID010",2019,2,3,"FAY"
"109","ID010",2019,64,7,"FAY"
"110","ID010",2019,13,2,"FAY"
"111","ID010",2019,66,4,"FAY"
"112","ID010",2019,15,2,"FAY"
"113","ID010",2019,11,5,"FAY"
"114","ID010",2019,65,2,"FAY"
"115","ID010",2019,64,2,"FAY"
"116","ID010",2019,1,5,"FAY"
"117","ID010",2019,32,2,"FAY"
"118","ID012",2020,21,4,"FAO"
"119","ID012",2020,24,9,"FAO"
"120","ID013",2021,21,5,"FAO"
"121","ID013",2019,10,1,"FAO"
"122","ID013",2020,31,1,"FAO"
"123","ID013",2019,1,3,"FAO"
"124","ID013",2019,6,6,"FAO"
"125","ID013",2020,45,1,"FAO"
"126","ID013",2021,-35,3,"FAO"
"127","ID013",2019,0,1,"FAO"
"128","ID013",2021,-40,1,"FAO"
"129","ID013",2021,-39,2,"FAO"
"130","ID013",2021,-13,2,"FAO"
"131","ID013",2021,-42,2,"FAO"
"132","ID013",2021,-31,6,"FAO"
"133","ID013",2019,24,1,"FAO"
"134","ID013",2019,16,1,"FAO"
"135","ID013",2021,4,2,"FAO"
"136","ID013",2020,30,2,"FAO"
"137","ID013",2020,31,1,"FAO"
"138","ID013",2021,-28,1,"FAO"
"139","ID013",2019,18,2,"FAO"
"140","ID013",2020,26,2,"FAO"
"141","ID013",2019,19,4,"FAO"
"142","ID013",2019,11,1,"FAO"
"143","ID013",2019,0,1,"FAO"
"144","ID013",2019,27,3,"FAO"
"145","ID013",2020,27,3,"FAO"
"146","ID013",2019,24,1,"FAO"
"147","ID013",2021,-30,1,"FAO"
"148","ID013",2020,25,3,"FAO"
"149","ID013",2020,19,1,"FAO"
"150","ID013",2020,22,7,"FAO"
"151","ID014",2021,-28,4,"FAO"
"152","ID014",2019,37,2,"FAO"
"153","ID014",2020,25,1,"FAO"
"154","ID014",2020,18,1,"FAO"
"155","ID015",2021,-29,1,"FAY"
"156","ID015",2019,14,1,"FAY"
"157","ID015",2021,-28,1,"FAY"
"158","ID015",2019,15,1,"FAY"
"159","ID015",2019,-1,1,"FAY"
"160","ID015",2019,13,1,"FAY"
"161","ID015",2021,-42,5,"FAY"
"162","ID015",2020,25,9,"FAY"
"163","ID015",2019,20,2,"FAY"
"164","ID015",2019,19,1,"FAY"
"165","ID016",2019,-1,23,"FAY"
"166","ID016",2019,16,1,"FAY"
"167","ID016",2019,-14,3,"FAY"
"168","ID016",2019,6,3,"FAY"
"169","ID016",2019,1,2,"FAY"
"170","ID016",2019,11,5,"FAY"
"171","ID016",2019,2,5,"FAY"
"172","ID016",2019,18,2,"FAY"
"173","ID016",2019,63,1,"FAY"
"174","ID016",2019,1,4,"FAY"
"175","ID016",2019,15,1,"FAY"
"176","ID016",2019,66,11,"FAY"
"177","ID016",2019,30,7,"FAY"
"178","ID017",2019,27,2,"FAY"
"179","ID017",2019,-1,1,"FAY"
"180","ID017",2019,15,1,"FAY"
"181","ID017",2019,25,3,"FAY"
"182","ID017",2019,14,1,"FAY"
"183","ID017",2020,27,4,"FAY"
"184","ID017",2019,21,3,"FAY"
"185","ID017",2019,-2,4,"FAY"
"186","ID017",2019,19,1,"FAY"
"187","ID017",2019,18,1,"FAY"
"188","ID017",2020,29,2,"FAY"
"189","ID017",2019,0,5,"FAY"
"190","ID017",2019,-3,1,"FAY"
"191","ID017",2019,27,3,"FAY"
"192","ID018",2021,-26,1,"FAO"
"193","ID018",2020,31,1,"FAO"
"194","ID018",2021,-28,7,"FAO"
"195","ID018",2021,-34,1,"FAO"
"196","ID018",2020,35,1,"FAO"
"197","ID019",2019,-1,23,"FAO"
"198","ID019",2021,-21,1,"FAO"
"199","ID019",2021,-14,2,"FAO"
"200","ID019",2019,-2,2,"FAO"
"201","ID019",2021,-17,2,"FAO"
"202","ID019",2021,-37,2,"FAO"
"203","ID019",2021,-24,3,"FAO"
"204","ID019",2021,-31,6,"FAO"
"205","ID019",2021,-10,2,"FAO"
"206","ID019",2021,-26,1,"FAO"
"207","ID019",2019,12,1,"FAO"
"208","ID019",2021,-23,1,"FAO"
"209","ID019",2019,25,1,"FAO"
"210","ID019",2021,-31,1,"FAO"
"211","ID019",2019,0,3,"FAO"
"212","ID019",2020,11,1,"FAO"
"213","ID019",2021,-12,3,"FAO"
"214","ID019",2021,-28,1,"FAO"
"215","ID019",2019,-2,10,"FAO"
"216","ID019",2019,19,1,"FAO"
"217","ID019",2021,-35,1,"FAO"
"218","ID019",2021,1,1,"FAO"
"219","ID019",2021,17,3,"FAO"
"220","ID019",2019,24,1,"FAO"
"221","ID019",2021,-6,1,"FAO"
"222","ID020",2021,-41,2,"FAO"
"223","ID020",2021,-10,2,"FAO"
"224","ID020",2021,-9,2,"FAO"
"225","ID020",2021,-11,1,"FAO"
"226","ID020",2021,-26,1,"FAO"
"227","ID020",2021,-28,6,"FAO"
"228","ID020",2021,-22,1,"FAO"
"229","ID020",2021,-37,1,"FAO"
"230","ID020",2020,60,1,"FAO"
"231","ID020",2021,24,1,"FAO"
"232","ID020",2021,-25,4,"FAO"
"233","ID020",2021,15,2,"FAO"
"234","ID020",2021,-40,4,"FAO"
"235","ID020",2021,-6,1,"FAO"
"236","ID020",2021,-34,1,"FAO"
"237","ID020",2021,-35,3,"FAO"
"238","ID020",2021,-36,1,"FAO"
"239","ID020",2021,11,2,"FAO"
"240","ID020",2021,19,2,"FAO"
"241","ID020",2021,14,2,"FAO"
"242","ID020",2021,10,2,"FAO"
"243","ID020",2021,20,2,"FAO"
"244","ID020",2020,64,4,"FAO"
"245","ID020",2020,60,14,"FAO"
"246","ID020",2021,8,2,"FAO"
"247","ID021",2019,11,3,"FAO"
"248","ID021",2019,6,12,"FAO"
"249","ID021",2019,18,1,"FAO"
"250","ID021",2019,10,1,"FAO"
"251","ID021",2019,11,1,"FAO"
"252","ID021",2019,24,3,"FAO"
"253","ID021",2019,6,1,"FAO"
"254","ID022",2019,-3,1,"FAO"
"255","ID024",2021,-30,1,"FAO"
"256","ID026",2019,0,1,"FAY"
"257","ID027",2021,-32,1,"FAO"
"258","ID027",2021,-23,1,"FAO"
"259","ID027",2021,-29,3,"FAO"
"260","ID027",2021,-10,2,"FAO"
"261","ID027",2021,-14,2,"FAO"
"262","ID027",2021,-25,3,"FAO"
"263","ID027",2021,-9,2,"FAO"
"264","ID027",2020,63,17,"FAO"
"265","ID027",2020,26,5,"FAO"
"266","ID027",2021,-34,1,"FAO"
"267","ID027",2020,3,1,"FAO"
"268","ID027",2021,-14,7,"FAO"
"269","ID027",2020,7,1,"FAO"
"270","ID027",2021,5,1,"FAO"
"271","ID027",2021,-6,1,"FAO"
"272","ID027",2020,64,6,"FAO"
"273","ID027",2021,-8,1,"FAO"
"274","ID029",2019,28,1,"FAY"
"275","ID029",2019,27,2,"FAY"
"276","ID029",2019,66,2,"FAY"
"277","ID029",2019,16,2,"FAY"
"278","ID029",2019,10,6,"FAY"
"279","ID029",2019,29,1,"FAY"
"280","ID029",2019,65,4,"FAY"
"281","ID029",2019,18,2,"FAY"
"282","ID029",2019,6,1,"FAY"
"283","ID029",2019,64,6,"FAY"
"284","ID029",2019,11,5,"FAY"
"285","ID029",2019,66,8,"FAY"
"286","ID029",2019,8,1,"FAY"
"287","ID029",2019,29,2,"FAY"
"288","ID029",2019,15,1,"FAY"
"289","ID029",2019,-2,4,"FAY"
"290","ID029",2019,7,4,"FAY"
"291","ID029",2019,64,5,"FAY"
"292","ID029",2019,11,1,"FAY"
"293","ID029",2019,8,3,"FAY"
"294","ID030",2021,-30,1,"FAO"
"295","ID030",2021,-34,1,"FAO"
"296","ID030",2021,-38,10,"FAO"
"297","ID030",2020,31,4,"FAO"
"298","ID030",2021,-28,6,"FAO"
"299","ID030",2020,27,5,"FAO"
"300","ID030",2020,32,3,"FAO"
"301","ID030",2020,26,1,"FAO"
"302","ID030",2020,11,1,"FAO"
"303","ID030",2021,-41,2,"FAO"
"304","ID030",2021,-40,2,"FAO"
"305","ID030",2021,-28,1,"FAO"
"306","ID030",2021,-23,1,"FAO"
"307","ID030",2020,21,4,"FAO"
"308","ID030",2021,-21,2,"FAO"
"309","ID030",2020,24,5,"FAO"
"310","ID030",2020,23,8,"FAO"
"311","ID030",2020,7,1,"FAO"
"312","ID030",2020,18,1,"FAO"
"313","ID030",2021,-22,8,"FAO"
"314","ID030",2020,60,8,"FAO"
"315","ID030",2021,-43,3,"FAO"
"316","ID030",2020,60,8,"FAO"
"317","ID030",2021,-25,1,"FAO"
"318","ID030",2020,36,3,"FAO"
"319","ID030",2021,-27,1,"FAO"
"320","ID031",2019,0,2,"FAY"
"321","ID031",2019,0,1,"FAY"
"322","ID031",2019,-2,4,"FAY"
"323","ID031",2019,16,2,"FAY"
"324","ID031",2019,-5,1,"FAY"
"325","ID031",2019,-3,1,"FAY"
"326","ID032",2019,-4,1,"FAY"
"327","ID032",2020,27,4,"FAY"
"328","ID032",2019,6,2,"FAY"
"329","ID032",2019,8,6,"FAY"
"330","ID032",2019,-2,2,"FAY"
"331","ID032",2019,-1,2,"FAY"
"332","ID032",2020,28,5,"FAY"
"333","ID032",2019,7,1,"FAY"
"334","ID032",2020,23,3,"FAY"
"335","ID032",2020,6,1,"FAY"
"336","ID032",2019,1,1,"FAY"
"337","ID032",2019,-6,1,"FAY"
"338","ID032",2020,30,9,"FAY"
"339","ID032",2020,37,2,"FAY"
"340","ID032",2020,19,26,"FAY"
"341","ID032",2020,22,10,"FAY"
"342","ID032",2020,22,3,"FAY"
"343","ID032",2019,-1,1,"FAY"
"344","ID032",2020,20,2,"FAY"
"345","ID032",2020,60,19,"FAY"
"346","ID032",2020,31,6,"FAY"
"347","ID032",2019,6,2,"FAY"
"348","ID033",2021,-38,5,"FAO"
"349","ID033",2021,-33,2,"FAO"
"350","ID033",2021,-13,1,"FAO"
"351","ID033",2021,-30,1,"FAO"
"352","ID033",2020,20,4,"FAO"
"353","ID033",2020,21,2,"FAO"
"354","ID033",2020,60,29,"FAO"
"355","ID033",2021,-32,2,"FAO"
"356","ID033",2021,-35,1,"FAO"
"357","ID033",2021,-38,4,"FAO"
"358","ID033",2020,32,1,"FAO"
"359","ID033",2021,-41,6,"FAO"
"360","ID033",2020,35,2,"FAO"
"361","ID033",2021,-29,2,"FAO"
"362","ID033",2021,-12,2,"FAO"
"363","ID033",2021,-42,1,"FAO"
"364","ID033",2020,36,1,"FAO"
"365","ID033",2021,-35,1,"FAO"
"366","ID033",2020,26,1,"FAO"
"367","ID033",2021,14,2,"FAO"
"368","ID033",2020,35,1,"FAO"
"369","ID033",2021,2,1,"FAO"
"370","ID033",2021,-40,1,"FAO"
"371","ID033",2020,34,8,"FAO"
"372","ID033",2020,60,18,"FAO"
"373","ID033",2020,32,2,"FAO"
"374","ID033",2021,19,1,"FAO"
"375","ID033",2021,11,3,"FAO"
"376","ID033",2021,-29,2,"FAO"
"377","ID033",2021,-9,1,"FAO"
"378","ID033",2021,21,1,"FAO"
"379","ID033",2020,21,1,"FAO"
"380","ID033",2020,22,4,"FAO"
"381","ID034",2019,2,4,"FAY"
"382","ID034",2019,32,4,"FAY"
"383","ID034",2019,1,11,"FAY"
"384","ID034",2019,31,1,"FAY"
"385","ID034",2019,7,3,"FAY"
"386","ID034",2019,6,4,"FAY"
"387","ID034",2019,30,4,"FAY"
"388","ID034",2019,66,3,"FAY"
"389","ID034",2019,27,2,"FAY"
"390","ID034",2019,33,3,"FAY"
"391","ID034",2019,-1,1,"FAY"
"392","ID034",2019,8,1,"FAY"
"393","ID034",2019,1,7,"FAY"
"394","ID034",2019,66,12,"FAY"
"395","ID034",2019,29,5,"FAY"
"396","ID034",2019,18,1,"FAY"
"397","ID034",2019,7,4,"FAY"
"398","ID034",2019,9,2,"FAY"
"399","ID034",2019,18,1,"FAY"
"400","ID034",2019,65,15,"FAY"
"401","ID034",2019,10,3,"FAY"
"402","ID034",2019,-2,7,"FAY"
"403","ID034",2019,29,2,"FAY"
"404","ID035",2019,26,1,"FAY"
"405","ID035",2019,33,4,"FAY"
"406","ID035",2019,13,1,"FAY"
"407","ID037",2020,25,3,"FAO"
"408","ID037",2020,18,1,"FAO"
"409","ID037",2021,-35,1,"FAO"
"410","ID037",2020,36,1,"FAO"
"411","ID037",2020,22,1,"FAO"
"412","ID037",2021,-41,1,"FAO"
"413","ID037",2020,6,1,"FAO"
"414","ID037",2020,19,5,"FAO"
"415","ID037",2019,9,4,"FAO"
"416","ID037",2021,-28,1,"FAO"
"417","ID037",2021,-38,20,"FAO"
"418","ID037",2020,29,8,"FAO"
"419","ID037",2021,-43,4,"FAO"
"420","ID037",2021,-42,1,"FAO"
"421","ID037",2019,-5,1,"FAO"
"422","ID037",2021,-23,3,"FAO"
"423","ID037",2021,-39,8,"FAO"
"424","ID037",2020,30,2,"FAO"
"425","ID037",2019,6,3,"FAO"
"426","ID037",2020,28,6,"FAO"
"427","ID037",2020,34,2,"FAO"
"428","ID037",2021,-38,2,"FAO"
"429","ID037",2021,-32,1,"FAO"
"430","ID037",2020,29,9,"FAO"
"431","ID037",2021,-30,4,"FAO"
"432","ID037",2021,-28,4,"FAO"
"433","ID037",2020,32,2,"FAO"
"434","ID037",2021,-39,3,"FAO"
"435","ID037",2019,1,3,"FAO"
"436","ID037",2019,7,1,"FAO"
"437","ID037",2019,1,7,"FAO"
"438","ID037",2019,-1,5,"FAO"
"439","ID037",2020,31,2,"FAO"
"440","ID037",2021,-33,1,"FAO"
"441","ID037",2019,-3,1,"FAO"
"442","ID037",2020,31,5,"FAO"
"443","ID037",2019,-2,10,"FAO"
"444","ID037",2019,-6,1,"FAO"
"445","ID037",2019,-13,9,"FAO"
"446","ID038",2021,-8,1,"FAO"
"447","ID038",2021,-18,1,"FAO"
"448","ID038",2020,34,2,"FAO"
"449","ID038",2021,2,1,"FAO"
"450","ID038",2021,-26,1,"FAO"
"451","ID038",2021,-34,3,"FAO"
"452","ID038",2021,-40,6,"FAO"
"453","ID038",2020,36,1,"FAO"
"454","ID038",2020,26,4,"FAO"
"455","ID038",2021,17,2,"FAO"
"456","ID038",2021,-41,14,"FAO"
"457","ID038",2021,-42,4,"FAO"
"458","ID038",2021,-25,1,"FAO"
"459","ID038",2020,31,7,"FAO"
"460","ID038",2021,-28,2,"FAO"
"461","ID038",2021,-29,4,"FAO"
"462","ID038",2021,-34,1,"FAO"
"463","ID038",2021,-32,1,"FAO"
"464","ID038",2021,-41,2,"FAO"
"465","ID038",2021,-33,1,"FAO"
"466","ID038",2021,17,2,"FAO"
"467","ID038",2021,-20,1,"FAO"
"468","ID038",2020,34,3,"FAO"
"469","ID039",2020,24,1,"FAO"
"470","ID039",2020,32,2,"FAO"
"471","ID039",2020,32,2,"FAO"
"472","ID039",2020,65,6,"FAO"
"473","ID039",2020,26,1,"FAO"
"474","ID039",2020,21,1,"FAO"
"475","ID039",2020,27,2,"FAO"
"476","ID039",2020,77,4,"FAO"
"477","ID039",2020,20,5,"FAO"
"478","ID039",2020,22,3,"FAO"
"479","ID040",2019,17,3,"FAO"
"480","ID040",2019,9,7,"FAO"
"481","ID040",2019,25,2,"FAO"
"482","ID040",2019,11,3,"FAO"
"483","ID040",2019,7,1,"FAO"
"484","ID040",2019,30,3,"FAO"
"485","ID040",2019,24,1,"FAO"
"486","ID040",2020,37,3,"FAO"
"487","ID040",2020,32,3,"FAO"
"488","ID040",2019,6,4,"FAO"
"489","ID040",2019,24,2,"FAO"
"490","ID040",2019,1,4,"FAO"
"491","ID040",2019,6,5,"FAO"
"492","ID040",2019,11,5,"FAO"
"493","ID040",2020,32,6,"FAO"
"494","ID040",2020,77,1,"FAO"
"495","ID040",2019,35,1,"FAO"
"496","ID040",2020,45,13,"FAO"
"497","ID040",2019,-2,11,"FAO"
"498","ID040",2020,60,25,"FAO"
"499","ID040",2020,7,2,"FAO"
"500","ID040",2020,27,18,"FAO"
"501","ID040",2020,31,6,"FAO"
"502","ID040",2020,10,1,"FAO"
"503","ID040",2020,20,2,"FAO"
"504","ID040",2020,30,2,"FAO"
"505","ID040",2020,22,2,"FAO"
"506","ID040",2019,31,2,"FAO"
"507","ID040",2019,-2,1,"FAO"
"508","ID040",2020,22,5,"FAO"
"509","ID040",2019,33,1,"FAO"
"510","ID041",2019,32,1,"FAY"
"511","ID041",2019,28,1,"FAY"
"512","ID041",2019,30,6,"FAY"
"513","ID041",2019,18,1,"FAY"
"514","ID041",2019,27,1,"FAY"
"515","ID041",2019,30,4,"FAY"
"516","ID041",2019,-14,3,"FAY"
"517","ID041",2019,17,1,"FAY"
"518","ID041",2019,24,3,"FAY"
"519","ID041",2019,25,1,"FAY"
"520","ID041",2019,8,1,"FAY"
