bat1,bat2,coswarming,relatedness,sexage,max_co_occurrence,days
ID001,ID002,1,0.203,FAO-FAY,232,4
ID001,ID003,0,0.049,FAO-FAY,232,0
ID001,ID004,0,0.226,FAO-FAY,232,0
ID001,ID005,0,0,FAO-FAY,178,2
ID001,ID006,3,0.028,FAO-FAY,232,4
ID001,ID007,0,0.085,FAO-FAY,14,0
ID001,ID008,0,0,FAO-FAY,25,0
ID001,ID009,0,0,FAO-FAY,85,0
ID001,ID010,7,0.058,FAY-FAY,164,15
ID001,ID011,0,0.027,FAY-FAY,20,0
ID001,ID012,0,0,FAO-FAY,109,2
ID001,ID013,0,0.089,FAO-FAY,232,19
ID001,ID014,0,0,FAO-FAY,73,0
ID001,ID015,0,0,FAY-FAY,91,0
ID001,ID016,0,0.5,FAY-FAY,232,33
ID001,ID017,0,0.1,FAY-FAY,102,0
ID001,ID018,0,0,FAO-FAY,31,0
ID001,ID019,2,0,FAO-FAY,151,6
ID001,ID020,0,0,FAO-FAY,232,0
ID001,ID021,0,0.095,FAO-FAY,232,17
ID001,ID022,0,0,FAO-FAY,16,2
ID001,ID023,0,0,FAO-FAY,5,0
ID001,ID024,0,0,FAO-FAY,4,0
ID001,ID026,0,0,FAY-FAY,76,1
ID001,ID027,0,0,FAO-FAY,232,0
ID001,ID029,8,0,FAY-FAY,161,30
ID001,ID030,0,0.025,FAO-FAY,160,0
ID001,ID031,0,0,FAY-FAY,46,2
ID001,ID032,0,0,FAY-FAY,232,4
ID001,ID033,0,0,FAO-FAY,168,0
ID001,ID034,23,0.095,FAY-FAY,232,31
ID001,ID035,0,0,FAY-FAY,61,1
ID001,ID036,0,0.033,FAO-FAY,14,0
ID001,ID037,0,0,FAO-FAY,232,10
ID001,ID038,0,0,FAO-FAY,232,0
ID001,ID039,0,0.041,FAO-FAY,121,0
ID001,ID040,9,0,FAO-FAY,232,33
ID001,ID041,0,0.288,FAY-FAY,231,30
ID001,ID042,0,0,FAO-FAY,190,0
ID001,ID044,1,0,FAO-FAY,232,32
ID001,ID045,2,0,FAO-FAY,232,15
ID001,ID046,2,0,FAY-FAY,232,14
ID001,ID047,0,0,FAO-FAY,232,0
ID001,ID048,0,0.153,FAO-FAY,34,0
ID001,ID049,0,0,FAY-FAY,133,24
ID001,ID050,0,0,FAO-FAY,88,2
ID001,ID051,0,0.045,FAY-FAY,206,19
ID001,ID052,0,0,FAO-FAY,1,0
