,ID001,ID002,ID003,ID004,ID005,ID006,ID007,ID008,ID009,ID010,ID011,ID012,ID013,ID014,ID015,ID016,ID017,ID018,ID019,ID020,ID021,ID022,ID023,ID024,ID026,ID027,ID029,ID030,ID031,ID032,ID033,ID034,ID035,ID036,ID037,ID038,ID039,ID040,ID041,ID042,ID044,ID045,ID046,ID047,ID048,ID049,ID050,ID051,ID052,ID054,ID055,ID056,ID057,ID058,ID060,ID061,ID062,ID063,ID064,ID065,ID066,ID067,ID069,ID070,ID071,ID072,ID073,ID074,ID081,ID082,ID083,ID084,ID085,ID086,ID087,ID088,ID089,ID092,ID093,ID094,ID095,ID096,ID097,ID098,ID099,ID100,ID102,ID103,ID104,ID105,ID106,ID107,ID109,ID110,ID111,ID112,ID113,ID114,ID115,ID116,ID117,ID118,ID119,ID120,ID122,ID123,ID124,ID125,ID126,ID129,ID130,ID131,ID132,ID133,ID135,ID136,ID137,ID138,ID139,ID140,ID142,ID143,ID144,ID145,ID146,ID147,ID148,ID149,ID150,ID151,ID152,ID153,ID154,ID155,ID156,ID157,ID158,ID160,ID161,ID162,ID164,ID165,ID166,ID168,ID169,ID170,ID171,ID173,ID174,ID175,ID176,ID177,ID178,ID179,ID182,ID183,ID184,ID186,ID187,ID188,ID191,ID192,ID193,ID195,ID198,ID199,ID201,ID202,ID205,ID206,ID208,ID210,ID212,ID213,ID216,ID217,ID218,ID219,ID223,ID225,ID227,ID228,ID229,ID232,ID236,ID238,ID244,ID246,ID249,ID254,ID256,ID261,ID280,ID281,ID282,ID291,ID292,ID293,ID295,ID296,ID297,ID298,ID299,ID301,ID302,ID303,ID304,ID305,ID306,ID307,ID308,ID309,ID310,ID312,ID313,ID314,ID315,ID316,ID317,ID318,ID319,ID320,ID321,ID322,ID323,ID324,ID325,ID326,ID327,ID328,ID329,ID330,ID331,ID332,ID333,ID334,ID335,ID336,ID337,ID338,ID339,ID340,ID341,ID343,ID345,ID346,ID349,ID350,ID352,ID356,ID359,ID360,ID361,ID365,ID367,ID370,ID374,ID375,ID378
ID001,0,4,0,0,2,4,0,0,0,15,0,2,19,0,0,33,0,0,6,0,17,2,0,0,1,0,30,0,2,4,0,31,1,0,10,0,0,33,30,0,32,15,14,0,0,24,2,19,0,8,0,10,0,0,12,0,13,0,0,0,0,0,0,12,1,0,0,0,25,2,0,0,17,19,0,10,1,0,1,1,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,8,28,6,0,6,0,0,0,3,1,1,2,0,1,0,0,1,1,5,0,0,9,10,0,0,0,1,8,9,0,2,9,2,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID002,4,0,6,30,26,35,3,2,13,13,4,2,24,0,26,5,28,7,19,10,3,3,1,2,6,10,6,24,12,19,14,4,19,2,28,20,3,12,5,35,30,31,22,18,9,5,23,9,0,2,5,19,14,9,2,4,4,42,57,1,11,2,1,3,31,20,28,20,0,27,18,23,4,1,19,25,22,27,32,22,26,1,14,22,20,26,30,20,24,1,24,22,14,14,22,27,7,17,12,10,25,0,13,12,0,23,19,16,32,21,36,0,2,7,0,2,2,2,3,5,3,9,4,2,1,0,1,3,1,1,1,2,3,1,0,8,6,1,1,1,1,0,1,1,0,0,12,0,1,6,0,1,0,0,0,19,8,8,1,0,0,0,0,3,0,0,6,0,20,6,15,2,2,3,5,4,24,0,0,1,9,0,14,1,3,13,3,3,9,1,22,3,12,2,10,12,9,15,0,0,1,0,16,0,0,2,0,1,0,2,1,0,0,4,0,0,0,0,1,4,2,0,1,1,2,0,1,0,1,0,0,1,3,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,5,8,0,0
ID003,0,6,0,7,0,0,0,2,6,0,0,1,15,2,0,0,4,6,7,1,0,0,0,0,0,10,0,29,0,25,15,0,0,0,22,16,11,28,0,1,15,23,16,20,1,0,1,0,0,0,3,0,0,2,0,0,0,2,21,0,0,0,0,0,6,0,0,20,0,0,0,0,0,0,0,12,0,13,3,2,15,0,0,5,0,10,9,15,9,0,0,0,0,18,0,15,1,4,5,24,15,0,11,31,0,19,0,0,11,6,14,0,0,23,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,6,0,0,0,6,0,5,3,0,0,0,0,0,11,0,8,3,0,0,0,0,5,0,0,6,0,14,24,0,0,0,0,0,1,29,1,0,0,1,0,13,0,0,0,3,2,10,0,19,1,7,18,0,6,1,12,0,0,5,0,0,2,0,12,0,8,2,0,10,6,0,0,1,2,0,0,11,10,7,0,4,8,5,1,4,4,6,4,3,6,9,0,0,0,1,6,0,0,1,1,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,1,1
ID004,0,30,7,0,34,35,2,0,3,10,3,1,15,2,23,1,31,0,10,1,1,2,1,0,3,8,1,5,8,13,4,0,19,1,6,10,1,8,3,41,14,6,5,9,8,8,12,16,0,0,0,17,17,1,1,2,0,43,36,1,8,2,0,2,36,17,29,4,3,35,25,36,0,0,17,15,19,23,27,16,35,0,13,33,22,31,19,3,28,0,26,31,15,17,33,12,0,22,13,8,41,0,1,10,0,3,20,16,25,34,34,0,1,6,1,6,9,7,12,14,5,8,0,2,0,3,6,13,9,1,0,13,3,7,0,1,0,8,8,4,9,0,2,1,0,2,2,0,0,0,4,2,1,8,0,0,0,1,0,1,5,1,0,4,0,0,1,0,2,4,0,0,0,0,0,0,7,0,0,0,0,2,2,0,0,1,4,1,2,0,2,1,2,7,0,2,5,2,0,1,3,4,0,3,0,4,1,2,5,1,3,4,5,0,1,4,3,6,3,2,6,0,2,2,0,1,1,1,2,1,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID005,2,26,0,34,0,31,1,0,0,11,2,1,10,1,19,3,25,0,9,0,3,2,0,0,5,0,1,0,10,10,0,2,19,2,5,0,0,3,3,37,11,3,4,0,9,8,12,12,0,2,0,20,13,0,2,2,2,35,30,1,9,1,0,4,26,18,25,0,3,27,20,28,0,0,14,11,16,14,19,13,20,0,10,22,18,21,14,0,19,0,19,24,12,10,26,7,0,17,10,0,28,0,0,2,0,0,18,14,15,26,25,0,1,0,1,5,7,5,9,10,4,2,0,2,0,3,4,8,6,1,0,10,2,7,0,0,0,6,6,2,7,0,0,1,0,2,0,0,0,0,4,1,1,7,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID006,4,35,0,35,31,0,2,0,0,11,4,2,13,1,25,5,31,0,10,0,2,3,1,0,6,0,5,0,11,12,0,4,21,2,5,0,0,8,6,38,17,3,4,0,9,9,14,12,0,1,0,20,15,0,2,4,1,39,37,1,11,2,1,3,28,20,30,0,4,27,21,28,1,0,17,11,19,14,21,14,21,3,14,26,21,21,15,0,22,3,22,26,14,11,27,11,0,17,11,0,28,0,1,4,0,0,20,15,16,24,22,0,1,0,0,5,6,5,9,8,6,2,0,4,2,3,3,7,6,2,2,6,3,5,0,0,0,4,3,2,4,1,0,1,1,2,0,0,0,0,2,1,1,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID007,0,3,0,2,1,2,0,0,0,1,1,0,2,0,2,1,1,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,2,1,2,0,0,1,2,2,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,2,2,0,1,1,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID008,0,2,2,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,4,0,2,2,0,0,0,1,2,0,2,0,1,2,2,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,3,1,1,2,0,0,0,0,1,0,0,1,0,1,2,2,0,0,2,0,2,0,0,3,2,2,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,0,0,1,0,2,2,1,0,0,0,0,2,4,0,0,0,2,0,2,1,1,0,0,0,4,0,2,2,1,2,2,2,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ID009,0,13,6,3,0,0,0,2,0,0,0,0,15,0,1,0,2,6,9,4,0,0,0,2,0,5,0,17,0,4,12,0,0,0,14,19,2,7,0,0,8,18,18,15,1,0,6,0,0,0,2,0,1,7,0,0,0,4,15,0,0,0,0,0,5,0,0,16,0,6,0,0,0,1,0,11,0,9,5,8,7,0,0,0,0,4,8,16,7,0,1,0,0,1,0,12,3,1,1,11,2,0,6,6,0,17,0,0,15,2,11,0,0,4,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,2,0,0,0,5,0,1,5,0,0,0,0,0,15,4,8,0,0,0,0,0,2,0,0,1,0,15,7,7,0,2,0,4,8,15,0,0,0,9,1,9,2,1,12,3,2,8,0,10,5,8,3,8,9,8,15,2,0,2,1,13,0,0,3,1,2,3,4,3,3,1,3,0,1,0,3,5,1,5,0,2,4,2,0,1,2,4,1,2,3,3,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,6,0,0
ID010,15,13,0,10,11,11,1,0,0,0,2,1,15,1,6,15,9,0,9,0,10,2,1,0,1,0,13,0,5,6,0,14,7,1,9,0,0,15,15,10,19,11,14,0,3,7,4,9,0,7,0,11,2,0,10,2,11,10,9,0,2,2,0,8,5,4,8,0,7,10,7,8,5,6,5,6,8,6,8,5,6,7,5,8,7,7,5,0,7,6,6,7,6,3,8,4,0,6,4,0,8,0,5,11,4,0,8,7,8,8,10,1,1,1,0,1,1,0,3,1,2,0,0,3,2,1,1,1,0,2,2,1,1,3,0,0,2,1,1,1,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
