ID_short,roost,date,time,sexage,PIT
ID037,A,2019-05-23,00:05:19,FAO,2019-05-16
ID037,A,2019-05-23,00:05:20,FAO,2019-05-16
ID037,A,2019-05-23,00:05:21,FAO,2019-05-16
ID037,A,2019-05-23,00:05:22,FAO,2019-05-16
ID047,A,2019-05-23,01:14:59,FAY,2019-05-16
ID047,A,2019-05-23,01:15:00,FAY,2019-05-16
ID047,A,2019-05-23,01:15:13,FAY,2019-05-16
ID047,A,2019-05-23,01:15:14,FAY,2019-05-16
ID047,A,2019-05-23,01:15:15,FAY,2019-05-16
ID047,A,2019-05-23,03:14:26,FAY,2019-05-16
ID047,A,2019-05-23,03:14:27,FAY,2019-05-16
ID047,A,2019-05-23,03:14:28,FAY,2019-05-16
ID037,A,2019-05-23,04:04:05,FAO,2019-05-16
ID037,A,2019-05-23,04:04:13,FAO,2019-05-16
ID037,A,2019-05-23,04:04:14,FAO,2019-05-16
ID037,A,2019-05-23,04:04:15,FAO,2019-05-16
ID006,A,2019-05-23,04:06:20,FAO,2019-05-16
ID011,A,2019-05-23,04:09:33,FAY,2019-05-16
ID011,A,2019-05-23,04:09:34,FAY,2019-05-16
ID038,A,2019-05-23,04:11:45,FAY,2019-05-16
ID038,A,2019-05-23,04:12:15,FAY,2019-05-16
ID047,A,2019-05-23,04:15:46,FAY,2019-05-16
ID047,A,2019-05-23,04:15:52,FAY,2019-05-16
ID047,A,2019-05-23,04:15:53,FAY,2019-05-16
ID064,A,2019-05-23,04:16:04,FAO,2019-05-22
ID003,A,2019-05-23,04:16:08,FAY,2019-05-16
ID003,A,2019-05-23,04:16:19,FAY,2019-05-16
ID064,A,2019-05-23,04:16:37,FAO,2019-05-22
ID064,A,2019-05-23,04:16:38,FAO,2019-05-22
ID003,A,2019-05-23,04:17:05,FAY,2019-05-16
ID003,A,2019-05-23,04:17:06,FAY,2019-05-16
ID002,A,2019-05-23,04:18:22,FAO,2019-05-16
ID002,A,2019-05-23,04:18:23,FAO,2019-05-16
ID040,A,2019-05-23,04:19:53,FAO,2019-05-16
ID040,A,2019-05-23,04:20:03,FAO,2019-05-16
ID061,A,2019-05-23,04:25:56,FAO,2019-05-22
ID061,A,2019-05-23,04:25:57,FAO,2019-05-22
ID061,A,2019-05-23,04:25:58,FAO,2019-05-22
ID074,A,2019-05-24,00:23:46,FAY,2019-05-22
ID035,A,2019-05-24,00:31:27,FAY,2019-05-16
ID035,A,2019-05-24,00:31:32,FAY,2019-05-16
ID035,A,2019-05-24,00:32:33,FAY,2019-05-16
ID035,A,2019-05-24,00:32:37,FAY,2019-05-16
ID035,A,2019-05-24,00:33:01,FAY,2019-05-16
ID035,A,2019-05-24,00:33:05,FAY,2019-05-16
ID042,A,2019-05-24,00:41:56,FAO,2019-05-16
ID042,A,2019-05-24,00:42:01,FAO,2019-05-16
ID042,A,2019-05-24,00:42:07,FAO,2019-05-16
ID042,A,2019-05-24,00:42:08,FAO,2019-05-16
ID042,A,2019-05-24,00:42:15,FAO,2019-05-16
ID042,A,2019-05-24,00:42:16,FAO,2019-05-16
ID013,A,2019-05-24,00:43:55,FAO,2019-05-16
ID027,A,2019-05-24,00:48:26,FAY,2019-05-16
ID027,A,2019-05-24,00:48:49,FAY,2019-05-16
ID027,A,2019-05-24,00:48:53,FAY,2019-05-16
ID027,A,2019-05-24,00:48:58,FAY,2019-05-16
ID027,A,2019-05-24,00:49:02,FAY,2019-05-16
ID027,A,2019-05-24,00:49:10,FAY,2019-05-16
ID027,A,2019-05-24,00:49:11,FAY,2019-05-16
ID010,A,2019-05-24,01:10:53,FAY,2019-05-16
ID010,A,2019-05-24,01:11:30,FAY,2019-05-16
ID010,A,2019-05-24,01:11:33,FAY,2019-05-16
ID010,A,2019-05-24,01:11:46,FAY,2019-05-16
ID010,A,2019-05-24,01:11:50,FAY,2019-05-16
ID010,A,2019-05-24,01:11:51,FAY,2019-05-16
ID010,A,2019-05-24,01:12:05,FAY,2019-05-16
ID010,A,2019-05-24,01:12:06,FAY,2019-05-16
ID041,A,2019-05-24,01:13:36,FAY,2019-05-16
ID047,A,2019-05-24,01:17:21,FAY,2019-05-16
ID047,A,2019-05-24,01:17:22,FAY,2019-05-16
ID044,A,2019-05-24,01:22:33,FAO,2019-05-16
ID044,A,2019-05-24,01:22:48,FAO,2019-05-16
ID044,A,2019-05-24,01:33:31,FAO,2019-05-16
ID006,A,2019-05-24,01:44:20,FAO,2019-05-16
ID006,A,2019-05-24,01:44:24,FAO,2019-05-16
ID006,A,2019-05-24,01:44:32,FAO,2019-05-16
ID006,A,2019-05-24,01:44:36,FAO,2019-05-16
ID006,A,2019-05-24,01:44:44,FAO,2019-05-16
ID006,A,2019-05-24,01:44:48,FAO,2019-05-16
ID006,A,2019-05-24,01:44:49,FAO,2019-05-16
ID006,A,2019-05-24,01:44:53,FAO,2019-05-16
ID006,A,2019-05-24,02:50:51,FAO,2019-05-16
ID006,A,2019-05-24,02:50:52,FAO,2019-05-16
ID006,A,2019-05-24,02:50:53,FAO,2019-05-16
ID006,A,2019-05-24,02:50:54,FAO,2019-05-16
ID006,A,2019-05-24,02:50:55,FAO,2019-05-16
ID006,A,2019-05-24,02:50:56,FAO,2019-05-16
ID006,A,2019-05-24,02:50:57,FAO,2019-05-16
ID037,A,2019-05-24,03:15:03,FAO,2019-05-16
ID037,A,2019-05-24,03:15:04,FAO,2019-05-16
ID037,A,2019-05-24,03:15:05,FAO,2019-05-16
ID027,A,2019-05-24,03:19:17,FAY,2019-05-16
ID027,A,2019-05-24,03:19:18,FAY,2019-05-16
ID027,A,2019-05-24,03:19:19,FAY,2019-05-16
ID047,A,2019-05-24,03:27:35,FAY,2019-05-16
ID047,A,2019-05-24,03:27:36,FAY,2019-05-16
ID047,A,2019-05-24,03:27:37,FAY,2019-05-16
ID047,A,2019-05-24,03:27:38,FAY,2019-05-16
ID047,A,2019-05-24,03:27:39,FAY,2019-05-16
ID047,A,2019-05-24,03:27:40,FAY,2019-05-16
ID047,A,2019-05-24,03:27:41,FAY,2019-05-16
ID047,A,2019-05-24,03:27:42,FAY,2019-05-16
ID047,A,2019-05-24,03:28:34,FAY,2019-05-16
ID047,A,2019-05-24,03:28:35,FAY,2019-05-16
ID035,A,2019-05-24,03:35:32,FAY,2019-05-16
ID042,A,2019-05-24,03:35:57,FAO,2019-05-16
ID042,A,2019-05-24,03:35:58,FAO,2019-05-16
ID035,A,2019-05-24,03:36:29,FAY,2019-05-16
ID010,A,2019-05-24,03:46:50,FAY,2019-05-16
ID010,A,2019-05-24,03:46:51,FAY,2019-05-16
ID010,A,2019-05-24,03:46:52,FAY,2019-05-16
ID010,A,2019-05-24,03:46:53,FAY,2019-05-16
ID010,A,2019-05-24,03:46:54,FAY,2019-05-16
ID010,A,2019-05-24,03:46:55,FAY,2019-05-16
ID066,A,2019-05-24,03:46:57,FAY,2019-05-22
ID066,A,2019-05-24,03:47:11,FAY,2019-05-22
ID066,A,2019-05-24,03:47:14,FAY,2019-05-22
ID066,A,2019-05-24,03:47:15,FAY,2019-05-22
ID067,A,2019-05-24,03:48:56,FAY,2019-05-22
ID067,A,2019-05-24,03:49:28,FAY,2019-05-22
ID017,A,2019-05-24,03:59:06,FAY,2019-05-16
ID017,A,2019-05-24,03:59:21,FAY,2019-05-16
ID017,A,2019-05-24,03:59:32,FAY,2019-05-16
ID055,A,2019-05-24,04:03:06,FAY,2019-05-22
ID055,A,2019-05-24,04:03:09,FAY,2019-05-22
ID055,A,2019-05-24,04:03:10,FAY,2019-05-22
ID015,A,2019-05-24,04:03:26,FAY,2019-05-16
ID064,A,2019-05-24,04:05:11,FAO,2019-05-22
ID064,A,2019-05-24,04:05:12,FAO,2019-05-22
ID029,A,2019-05-24,04:07:55,FAY,2019-05-16
ID050,A,2019-05-24,04:08:26,FAO,2019-05-16
ID020,A,2019-05-24,04:08:29,FAY,2019-05-16
ID020,A,2019-05-24,04:08:30,FAY,2019-05-16
ID050,A,2019-05-24,04:08:30,FAO,2019-05-16
ID020,A,2019-05-24,04:08:34,FAY,2019-05-16
ID020,A,2019-05-24,04:08:35,FAY,2019-05-16
ID050,A,2019-05-24,04:08:44,FAO,2019-05-16
ID063,A,2019-05-24,04:09:22,FAO,2019-05-22
ID063,A,2019-05-24,04:09:28,FAO,2019-05-22
ID063,A,2019-05-24,04:09:35,FAO,2019-05-22
ID063,A,2019-05-24,04:09:36,FAO,2019-05-22
ID061,A,2019-05-24,04:12:13,FAO,2019-05-22
ID061,A,2019-05-24,04:12:14,FAO,2019-05-22
ID011,A,2019-05-24,04:13:21,FAY,2019-05-16
ID011,A,2019-05-24,04:13:26,FAY,2019-05-16
ID011,A,2019-05-24,04:13:32,FAY,2019-05-16
ID011,A,2019-05-24,04:13:46,FAY,2019-05-16
ID011,A,2019-05-24,04:13:57,FAY,2019-05-16
ID011,A,2019-05-24,04:13:58,FAY,2019-05-16
ID004,A,2019-05-24,04:14:07,FAO,2019-05-16
ID004,A,2019-05-24,04:14:13,FAO,2019-05-16
ID004,A,2019-05-24,04:14:14,FAO,2019-05-16
ID040,A,2019-05-24,04:17:07,FAO,2019-05-16
ID073,A,2019-05-24,04:17:57,FAO,2019-05-22
ID073,A,2019-05-24,04:17:58,FAO,2019-05-22
ID037,A,2019-05-24,04:18:27,FAO,2019-05-16
ID037,A,2019-05-24,04:18:36,FAO,2019-05-16
ID037,A,2019-05-24,04:18:37,FAO,2019-05-16
ID032,A,2019-05-24,04:18:42,FAY,2019-05-16
ID002,A,2019-05-24,04:19:12,FAO,2019-05-16
ID002,A,2019-05-24,04:19:13,FAO,2019-05-16
ID038,A,2019-05-24,04:19:44,FAY,2019-05-16
ID038,A,2019-05-24,04:19:45,FAY,2019-05-16
ID006,A,2019-05-24,04:22:06,FAO,2019-05-16
ID042,A,2019-05-24,04:23:18,FAO,2019-05-16
ID027,A,2019-05-24,04:23:30,FAY,2019-05-16
ID041,A,2019-05-24,04:28:15,FAY,2019-05-16
ID046,A,2019-05-24,04:29:15,FAY,2019-05-16
ID046,A,2019-05-24,04:29:30,FAY,2019-05-16
ID046,A,2019-05-24,04:29:31,FAY,2019-05-16
ID023,A,2019-05-24,04:29:57,FAO,2019-05-16
ID023,A,2019-05-24,04:30:05,FAO,2019-05-16
ID023,A,2019-05-24,04:30:06,FAO,2019-05-16
ID023,A,2019-05-24,04:32:15,FAO,2019-05-16
ID023,A,2019-05-24,04:32:16,FAO,2019-05-16
ID044,A,2019-05-24,04:32:35,FAO,2019-05-16
ID042,A,2019-05-25,00:30:16,FAO,2019-05-16
ID042,A,2019-05-25,00:30:17,FAO,2019-05-16
ID031,A,2019-05-25,00:32:20,FAY,2019-05-16
ID031,A,2019-05-25,00:32:21,FAY,2019-05-16
ID036,A,2019-05-25,00:45:52,FAO,2019-05-16
ID036,A,2019-05-25,00:45:53,FAO,2019-05-16
ID027,A,2019-05-25,00:58:24,FAY,2019-05-16
ID027,A,2019-05-25,00:58:44,FAY,2019-05-16
ID027,A,2019-05-25,00:58:45,FAY,2019-05-16
ID027,A,2019-05-25,00:58:55,FAY,2019-05-16
ID007,A,2019-05-25,01:15:37,FAO,2019-05-16
ID007,A,2019-05-25,01:15:41,FAO,2019-05-16
ID007,A,2019-05-25,01:15:45,FAO,2019-05-16
ID007,A,2019-05-25,01:15:49,FAO,2019-05-16
ID007,A,2019-05-25,01:15:54,FAO,2019-05-16
ID007,A,2019-05-25,01:15:58,FAO,2019-05-16
ID007,A,2019-05-25,01:16:02,FAO,2019-05-16
ID007,A,2019-05-25,01:16:03,FAO,2019-05-16
ID007,A,2019-05-25,01:16:30,FAO,2019-05-16
ID007,A,2019-05-25,01:16:39,FAO,2019-05-16
ID007,A,2019-05-25,01:16:44,FAO,2019-05-16
ID007,A,2019-05-25,01:17:02,FAO,2019-05-16
ID037,A,2019-05-25,01:41:34,FAO,2019-05-16
ID037,A,2019-05-25,01:41:35,FAO,2019-05-16
ID037,A,2019-05-25,01:41:36,FAO,2019-05-16
ID002,A,2019-05-25,02:19:40,FAO,2019-05-16
ID002,A,2019-05-25,02:19:50,FAO,2019-05-16
ID002,A,2019-05-25,02:19:59,FAO,2019-05-16
ID002,A,2019-05-25,02:20:04,FAO,2019-05-16
ID037,A,2019-05-25,02:25:44,FAO,2019-05-16
ID037,A,2019-05-25,02:25:48,FAO,2019-05-16
ID037,A,2019-05-25,02:25:49,FAO,2019-05-16
ID027,A,2019-05-25,02:37:54,FAY,2019-05-16
ID027,A,2019-05-25,02:37:55,FAY,2019-05-16
ID042,A,2019-05-25,03:00:42,FAO,2019-05-16
ID042,A,2019-05-25,03:00:43,FAO,2019-05-16
ID074,A,2019-05-25,03:05:27,FAY,2019-05-22
ID074,A,2019-05-25,03:05:28,FAY,2019-05-22
ID074,A,2019-05-25,03:05:29,FAY,2019-05-22
ID037,A,2019-05-25,03:23:26,FAO,2019-05-16
ID037,A,2019-05-25,03:23:27,FAO,2019-05-16
ID037,A,2019-05-25,03:23:28,FAO,2019-05-16
ID067,A,2019-05-25,03:28:18,FAY,2019-05-22
ID067,A,2019-05-25,03:28:30,FAY,2019-05-22
ID067,A,2019-05-25,03:28:39,FAY,2019-05-22
ID067,A,2019-05-25,03:28:40,FAY,2019-05-22
ID045,A,2019-05-25,03:34:21,FAO,2019-05-16
ID045,A,2019-05-25,03:34:29,FAO,2019-05-16
ID004,A,2019-05-25,03:36:42,FAO,2019-05-16
ID004,A,2019-05-25,03:36:51,FAO,2019-05-16
ID004,A,2019-05-25,03:36:52,FAO,2019-05-16
ID006,A,2019-05-25,03:39:05,FAO,2019-05-16
ID006,A,2019-05-25,03:39:06,FAO,2019-05-16
ID006,A,2019-05-25,03:39:10,FAO,2019-05-16
ID006,A,2019-05-25,03:39:14,FAO,2019-05-16
ID006,A,2019-05-25,03:39:19,FAO,2019-05-16
ID006,A,2019-05-25,03:39:23,FAO,2019-05-16
ID006,A,2019-05-25,03:39:27,FAO,2019-05-16
ID006,A,2019-05-25,03:39:28,FAO,2019-05-16
ID020,A,2019-05-25,03:41:44,FAY,2019-05-16
ID020,A,2019-05-25,03:41:48,FAY,2019-05-16
ID020,A,2019-05-25,03:41:49,FAY,2019-05-16
ID061,A,2019-05-25,03:41:52,FAO,2019-05-22
ID061,A,2019-05-25,03:41:56,FAO,2019-05-22
ID061,A,2019-05-25,03:41:57,FAO,2019-05-22
ID061,A,2019-05-25,03:42:02,FAO,2019-05-22
ID064,A,2019-05-25,03:42:06,FAO,2019-05-22
ID061,A,2019-05-25,03:42:07,FAO,2019-05-22
ID061,A,2019-05-25,03:42:08,FAO,2019-05-22
ID064,A,2019-05-25,03:42:15,FAO,2019-05-22
ID072,A,2019-05-25,03:45:59,FAO,2019-05-22
ID072,A,2019-05-25,03:46:00,FAO,2019-05-22
ID063,A,2019-05-25,03:49:54,FAO,2019-05-22
ID063,A,2019-05-25,03:49:55,FAO,2019-05-22
ID011,A,2019-05-25,03:50:06,FAY,2019-05-16
ID003,A,2019-05-25,03:50:07,FAY,2019-05-16
ID017,A,2019-05-25,03:50:22,FAY,2019-05-16
ID066,A,2019-05-25,03:50:36,FAY,2019-05-22
ID066,A,2019-05-25,03:50:49,FAY,2019-05-22
ID066,A,2019-05-25,03:50:50,FAY,2019-05-22
ID055,A,2019-05-25,03:51:39,FAY,2019-05-22
ID055,A,2019-05-25,03:51:54,FAY,2019-05-22
ID015,A,2019-05-25,03:52:50,FAY,2019-05-16
ID015,A,2019-05-25,03:52:58,FAY,2019-05-16
ID015,A,2019-05-25,03:53:19,FAY,2019-05-16
ID015,A,2019-05-25,03:53:20,FAY,2019-05-16
ID010,A,2019-05-25,03:53:56,FAY,2019-05-16
ID010,A,2019-05-25,03:54:21,FAY,2019-05-16
ID010,A,2019-05-25,03:54:50,FAY,2019-05-16
ID072,A,2019-05-25,03:55:48,FAO,2019-05-22
ID072,A,2019-05-25,03:55:56,FAO,2019-05-22
ID072,A,2019-05-25,03:56:00,FAO,2019-05-22
ID072,A,2019-05-25,03:56:01,FAO,2019-05-22
ID037,A,2019-05-25,03:56:13,FAO,2019-05-16
ID037,A,2019-05-25,03:56:17,FAO,2019-05-16
ID037,A,2019-05-25,03:56:18,FAO,2019-05-16
ID073,A,2019-05-25,03:57:05,FAO,2019-05-22
ID013,A,2019-05-25,04:02:38,FAO,2019-05-16
ID013,A,2019-05-25,04:02:59,FAO,2019-05-16
ID027,A,2019-05-25,04:03:18,FAY,2019-05-16
ID027,A,2019-05-25,04:03:19,FAY,2019-05-16
ID035,A,2019-05-25,04:03:33,FAY,2019-05-16
ID035,A,2019-05-25,04:03:36,FAY,2019-05-16
ID035,A,2019-05-25,04:03:47,FAY,2019-05-16
ID035,A,2019-05-25,04:03:51,FAY,2019-05-16
ID035,A,2019-05-25,04:03:55,FAY,2019-05-16
ID035,A,2019-05-25,04:04:09,FAY,2019-05-16
ID035,A,2019-05-25,04:04:13,FAY,2019-05-16
ID019,A,2019-05-25,04:04:57,FAO,2019-05-16
ID038,A,2019-05-25,04:05:12,FAY,2019-05-16
ID019,A,2019-05-25,04:05:13,FAO,2019-05-16
ID038,A,2019-05-25,04:05:22,FAY,2019-05-16
ID019,A,2019-05-25,04:05:23,FAO,2019-05-16
ID019,A,2019-05-25,04:05:27,FAO,2019-05-16
ID019,A,2019-05-25,04:05:30,FAO,2019-05-16
ID019,A,2019-05-25,04:05:31,FAO,2019-05-16
ID019,A,2019-05-25,04:05:34,FAO,2019-05-16
ID030,A,2019-05-25,04:05:59,FAY,2019-05-16
ID019,A,2019-05-25,04:06:12,FAO,2019-05-16
ID019,A,2019-05-25,04:06:16,FAO,2019-05-16
ID047,A,2019-05-25,04:06:40,FAY,2019-05-16
ID030,A,2019-05-25,04:06:42,FAY,2019-05-16
ID030,A,2019-05-25,04:06:43,FAY,2019-05-16
ID056,A,2019-05-25,04:11:18,FAO,2019-05-22
ID056,A,2019-05-25,04:11:22,FAO,2019-05-22
ID056,A,2019-05-25,04:11:23,FAO,2019-05-22
ID041,A,2019-05-25,04:17:15,FAY,2019-05-16
ID041,A,2019-05-25,04:17:30,FAY,2019-05-16
ID041,A,2019-05-25,04:17:49,FAY,2019-05-16
ID041,A,2019-05-25,04:17:55,FAY,2019-05-16
ID041,A,2019-05-25,04:18:04,FAY,2019-05-16
ID041,A,2019-05-25,04:18:13,FAY,2019-05-16
ID041,A,2019-05-25,04:18:17,FAY,2019-05-16
ID041,A,2019-05-25,04:18:18,FAY,2019-05-16
ID016,A,2019-05-25,04:18:18,FAY,2019-05-16
ID016,A,2019-05-25,04:18:22,FAY,2019-05-16
ID016,A,2019-05-25,04:18:25,FAY,2019-05-16
ID016,A,2019-05-25,04:18:26,FAY,2019-05-16
ID016,A,2019-05-25,04:18:36,FAY,2019-05-16
ID016,A,2019-05-25,04:18:48,FAY,2019-05-16
ID016,A,2019-05-25,04:18:49,FAY,2019-05-16
ID016,A,2019-05-25,04:18:50,FAY,2019-05-16
ID042,A,2019-05-25,04:18:59,FAO,2019-05-16
ID042,A,2019-05-25,04:19:03,FAO,2019-05-16
ID016,A,2019-05-25,04:19:13,FAY,2019-05-16
ID016,A,2019-05-25,04:19:17,FAY,2019-05-16
ID074,A,2019-05-25,04:21:53,FAY,2019-05-22
ID074,A,2019-05-25,04:21:59,FAY,2019-05-22
ID005,A,2019-05-25,04:22:03,FAO,2019-05-16
ID044,A,2019-05-25,04:22:11,FAO,2019-05-16
ID072,A,2019-05-26,00:07:21,FAO,2019-05-22
ID072,A,2019-05-26,00:07:47,FAO,2019-05-22
ID072,A,2019-05-26,00:08:03,FAO,2019-05-22
ID037,A,2019-05-26,00:12:20,FAO,2019-05-16
ID037,A,2019-05-26,00:12:21,FAO,2019-05-16
ID074,A,2019-05-26,00:16:18,FAY,2019-05-22
ID074,A,2019-05-26,00:16:32,FAY,2019-05-22
ID074,A,2019-05-26,00:16:39,FAY,2019-05-22
ID074,A,2019-05-26,00:16:40,FAY,2019-05-22
ID002,A,2019-05-26,00:20:59,FAO,2019-05-16
ID002,A,2019-05-26,00:21:04,FAO,2019-05-16
ID002,A,2019-05-26,00:21:08,FAO,2019-05-16
ID002,A,2019-05-26,00:21:17,FAO,2019-05-16
ID002,A,2019-05-26,00:21:21,FAO,2019-05-16
ID002,A,2019-05-26,00:21:28,FAO,2019-05-16
ID002,A,2019-05-26,00:21:29,FAO,2019-05-16
ID054,A,2019-05-26,00:23:31,FAY,2019-05-22
ID054,A,2019-05-26,00:23:37,FAY,2019-05-22
ID054,A,2019-05-26,00:23:38,FAY,2019-05-22
ID037,A,2019-05-26,00:23:41,FAO,2019-05-16
ID037,A,2019-05-26,00:23:42,FAO,2019-05-16
ID037,A,2019-05-26,00:23:43,FAO,2019-05-16
ID037,A,2019-05-26,00:23:44,FAO,2019-05-16
ID054,A,2019-05-26,00:23:44,FAY,2019-05-22
ID037,A,2019-05-26,00:23:45,FAO,2019-05-16
ID054,A,2019-05-26,00:24:01,FAY,2019-05-22
ID054,A,2019-05-26,00:24:06,FAY,2019-05-22
ID054,A,2019-05-26,00:24:12,FAY,2019-05-22
ID054,A,2019-05-26,00:24:33,FAY,2019-05-22
ID054,A,2019-05-26,00:24:58,FAY,2019-05-22
ID054,A,2019-05-26,00:25:02,FAY,2019-05-22
ID031,A,2019-05-26,00:28:50,FAY,2019-05-16
ID007,A,2019-05-26,01:00:50,FAO,2019-05-16
ID074,A,2019-06-01,00:18:41,FAY,2019-05-22
ID006,A,2019-06-01,00:29:36,FAO,2019-05-16
ID013,A,2019-06-01,00:30:39,FAO,2019-05-16
ID060,A,2019-06-01,00:50:47,FAY,2019-05-22
ID015,A,2019-06-01,01:13:53,FAY,2019-05-16
ID060,A,2019-06-01,01:21:32,FAY,2019-05-22
ID060,A,2019-06-01,01:21:53,FAY,2019-05-22
ID060,A,2019-06-01,01:22:56,FAY,2019-05-22
ID060,A,2019-06-01,01:22:57,FAY,2019-05-22
ID063,A,2019-06-01,01:49:11,FAO,2019-05-22
ID063,A,2019-06-01,01:49:18,FAO,2019-05-22
ID063,A,2019-06-01,01:49:19,FAO,2019-05-22
ID063,A,2019-06-01,02:41:40,FAO,2019-05-22
ID063,A,2019-06-01,02:41:41,FAO,2019-05-22
ID063,A,2019-06-01,02:41:42,FAO,2019-05-22
ID074,A,2019-06-01,02:48:41,FAY,2019-05-22
ID074,A,2019-06-01,02:48:42,FAY,2019-05-22
ID074,A,2019-06-01,02:48:43,FAY,2019-05-22
ID074,A,2019-06-01,02:48:44,FAY,2019-05-22
ID047,A,2019-06-01,02:53:42,FAY,2019-05-16
